ITEM #,QTY,SUPPLIER,PART NUMBER,DESCRIPTION,PRICE,UNIT,ADDITIONAL DESCRIPTION 
100,2,BROTHER MOBILE SOLUTIONS INC,TZE231,1/2 BLACK/WHITE TAPE,$11.16 ,1,
200,5,BROTHER MOBILE SOLUTIONS INC,TZE251,1 BLACK/WHITE TAPE,$15.32 ,1,
300,5,BROTHER MOBILE SOLUTIONS INC,TZE261,1.5BLACK/WHITE,$18.93 ,1,
400,1,BRADY WORLDWIDE INCORPORATED,BMP71-SC-QC,BMP71 LABEL PRNTR /SFT CASE /QUICK CHRGR,$933.33 ,1,
500,5,BRADY WORLDWIDE INCORPORATED,PTL-64-427,1.000 IN X 3.375 IN (25.40MM X 85.73MM),$16.96 ,1,
600,5,BRADY WORLDWIDE INCORPORATED,PTL-74-461,,$16.62 ,1,
700,3,PANDUIT CORP,C261X030FJC,2.61IN X .30IN,$37.03 ,1,
800,3,PANDUIT CORP,C261X035Y1C,WHITE 75/CASSETTE 4PT IDENTIFIER,$36.08 ,1,
900,2,PANDUIT CORP,C195X040Y1C,WHT N/ADH POLY LBL 100/CASS SGL FACE PLT,$35.23 ,1,
1000,2,PANDUIT CORP,C138X019FJC,1.38IN WIDE X .19IN HIGH,$34.55 ,1,
1100,200,PANDUIT CORP,LD5IW10-A,RACEWAY P/FT,$1.25 ,1,"Priced per foot. Sold in 10' sections. Quoting 20, 10' pieces. 200' total."
1200,2,PANDUIT CORP,DCF5IW-X,DROP CEILING FTG,$1.09 ,1,
1300,72,PANDUIT CORP,CJ688TGGR-24,CAT 6 RJ45 8-POS 8-WIRE UNIV MOD BULK PA,$6.25 ,1,
1400,20,PANDUIT CORP,JB1DIW-A,1-PIECE JUNCTION BOX,$4.12 ,1,
1500,15,PANDUIT CORP,CFPE2IWY,1G 2POS FACEPLATE,$1.62 ,1,
1600,15,PANDUIT CORP,CFPE4IWY,1G 4POS FACEPLATE,$1.62 ,1,
1700,10,PANDUIT CORP,HLS-15R0,VELCRO CABLE TIE 15 FT BLACK,$10.80 ,1,
1800,2,PANDUIT CORP,JP75DW-L20,J HOOK WITH BATWING,$112.88 ,100,
1900,2,PANDUIT CORP,JP131DW-L20,J HOOK WITH BATWING,$159.97 ,100,
2000,4000,MOHAWK WIRE + CABLE CO,6NP4P24-GY-P-MOH-PVCE,M58295B,$123.25 ,1000,
2100,1000,MOHAWK WIRE + CABLE CO,6NP4P24-GN-P-MOH-PVCE,M58296B,$123.25 ,1000,
2200,100,PANDUIT CORP,SP688-C,TX6 8P8C MODULAR PLUG,$0.95 ,1,
2300,50,PANDUIT CORP,UTPSP3GRY,CAT 6 PATCH CORD 3 FT GREEN,$5.62 ,1,
2400,50,PANDUIT CORP,UTPSP10GRY,CAT 6 PATCH CORD 10FT GREEN,$7.10 ,1,
2500,2,TRIPP LITE MANUFACTURING COMPANY,SMART5000XFMRXL,5000VA SMPRO RCKTWR 5KVA 120V/208V 11OUT,"$2,714.32 ",1,
2600,12000,MOHAWK WIRE + CABLE CO,6NP4P24-GY-P-MOH-PVCE,M58295B,$123.25 ,1000,
2700,0,,NO BID,,$0.00 ,0,
2800,0,,NO BID,,$0.00 ,0,
2900,0,,NO BID,,$0.00 ,0,
3000,0,,NO BID,,$0.00 ,0,
3100,0,,NO BID,,$0.00 ,0,
3200,0,,NO BID,,$0.00 ,0,
3300,0,,NO BID,,$0.00 ,0,
3400,1,SCHNEIDER ELECTRIC IT USA INC,SMT1000RM2UC,APC SMART-UPS 1000VA LCD RM 2U 120V,$547.40 ,1,Replaces SUA1000RM2U
3500,30,COOPER B-LINE SYSTEMS,FT4X8X10 EG/BLE,4 IN DEEP FLEXTRAY,$60.72 ,1,
3600,4,COOPER B-LINE SYSTEMS,WASHER SPL KIT,SPLICE KIT WIRE BASKET ACCESSORY,$1.06 ,1,
3700,5,COOPER B-LINE SYSTEMS,FTSHAK,HORIZ. ADJ. SPLICE KIT WIRE BSKT,$1.93 ,1,
3800,4,COOPER B-LINE SYSTEMS,FTSWNZN,WING SPLICE,$1.33 ,1,
3900,4,COOPER B-LINE SYSTEMS,SB2204YZ,WIRE BASKET ADAPTOR KIT,$7.55 ,1,
4000,5,COOPER B-LINE SYSTEMS,FTA2DO,FLEXTRAY CABLE DROPOUT PLASTIC,$1.74 ,1,
4100,10,COOPER B-LINE SYSTEMS,DROP OUT,8IN DROPOUT GALVANIZED,$2.86 ,1,
4200,100,COOPER B-LINE SYSTEMS,BW4,WING CLIP ROD AND WIRE FASTENER,$31.68 ,100,
4300,2,COOPER B-LINE SYSTEMS,WB48WMK,FLEXTRAY WALL MOUNT KIT,$5.32 ,1,
4400,2,COOPER B-LINE SYSTEMS,FTA9WTKFB,WALL TERM KIT BLK,$6.64 ,1,
