Part Number,Product,Qty,Ext Qty,Cat,List Price,Ext List Price,Pricing Comments,Comments,Reseller Net Price,Reseller Ext Net Price,Reseller Net Discount,Service Months,Currency Code,Contingency,Quote Name,Grouping Default,System Class,Hardware Total,Software Total,Storage Total,Top Root Line #,Child Item Seq,Orderable Flag,SOC Model,SOC System Qty,Total # of Heads,Total # of Shelves,JBOD Qty,Disk 1,# of Shelves disk 1,# of Shelves disk 2,Switch,Total # of Switches,Software Options,Software Licence Capacity,SOC Hardware Support,SOC Installation,SOC Software Subscription,Protocols,Product Type,Grouping Override,Disk 2
FAS2720A-002,"FAS2720 HA System,Premium Bundle,CNA",2,2,D,"7,500.00","15,000.00",,,"2,652.12","5,304.24",64.64,,USD,None,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,Hardware,,,,,362798866,362798868,Y-Orderable Part,FAS2720A,,,,,,,,,,,,,,,,BUNDLE,,
DOC-2720-C,"Documents,FAS2720,-C",1,1,D,0,0,,,0,0,0,,USD,None,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,Hardware,,,,,362798866,362798902,Y-Orderable Part,FAS2720A,,,,,,,,,,,,,,,,,,
X6589-R6-C,"SFP+ Optical 10Gb Shortwave,-C",8,8,L,495,"3,960.00",,,175.04,"1,400.32",64.64,,USD,None,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,Hardware,,,,,362798866,362798908,Y-Orderable Part,FAS2720A,,,,,,,,,,,,,,,,,,
X800-42U-R6,"Power Cable,In-Cabinet,C13-C14",2,2,C,0,0,,,0,0,0,,USD,None,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,Hardware,,,,,362798866,362798935,Y-Orderable Part,FAS2720A,,,,,,,,,,,,,,,,,,
X-02657-00,"Rackmount Kit,212C,4-post,Adj",1,1,D,150,150,,,53.04,53.04,64.64,,USD,None,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,Hardware,,,,,362798866,362798934,Y-Orderable Part,FAS2720A,,,,,,,,,,,,,,,,,,
X-02659-00,"Rail Kit,4-Post,Rnd/Sq-Hole,Adj,24-32",1,1,D,205,205,,,72.49,72.49,64.64,,USD,None,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,Hardware,,,,,362798917,362798922,Y-Orderable Part,FAS2720A,,,,,,,,,,,,,,,,,,
X66030A,"Cable,12Gb,Mini SAS HD,0.5m",6,6,L,185,"1,110.00",,,65.42,392.52,64.64,,USD,None,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,Hardware,,,,,362798917,362798924,Y-Orderable Part,FAS2720A,,,,,,,,,,,,,,,,,,
X66032A,"Cable,12Gb,Mini SAS HD,2m",4,4,L,285,"1,140.00",,,100.78,403.12,64.64,,USD,None,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,Hardware,,,,,362798917,362798925,Y-Orderable Part,FAS2720A,,,,,,,,,,,,,,,,,,
X66250-2,"Cable,LC-LC,OM4,2m",8,8,M,245,"1,960.00",,,86.64,693.12,64.64,,USD,None,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,Hardware,,,,,362798866,362798932,Y-Orderable Part,FAS2720A,,,,,,,,,,,,,,,,,,
X6566B-05-R6,"Cable,Direct Attach CU SFP+ 10G,0.5M",2,2,C,72,144,,,51.67,103.34,28.24,,USD,None,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,Hardware,,,,,362798866,362798933,Y-Orderable Part,FAS2720A,,,,,,,,,,,,,,,,,,
