Part #,Description,List Price,WWT Cost,Customer Price,Qty,Manufacturer,Vendor,Additional Description,Cust Product #,Lab Flag (Y/N),Contract Start Date (MM/DD/YYYY),Contract End Date (MM/DD/YYYY),Serial #,Vendor Quote #,Duration,Lead Time,Cost Type
FAS2720A-002,"FAS2720 HA System,Premium Bundle,CNA","7,500.00","2,652.12",,2,,b,,,,,,,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,,,
DOC-2720-C,"Documents,FAS2720,-C",0,0,,1,,b,,,,,,,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,,,
X6589-R6-C,"SFP+ Optical 10Gb Shortwave,-C",495,175.04,,8,,b,,,,,,,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,,,
X800-42U-R6,"Power Cable,In-Cabinet,C13-C14",0,0,,2,,b,,,,,,,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,,,
X-02657-00,"Rackmount Kit,212C,4-post,Adj",150,53.04,,1,,b,,,,,,,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,,,
X-02659-00,"Rail Kit,4-Post,Rnd/Sq-Hole,Adj,24-32",205,72.49,,1,,b,,,,,,,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,,,
X66030A,"Cable,12Gb,Mini SAS HD,0.5m",185,65.42,,6,,b,,,,,,,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,,,
X66032A,"Cable,12Gb,Mini SAS HD,2m",285,100.78,,4,,b,,,,,,,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,,,
X66250-2,"Cable,LC-LC,OM4,2m",245,86.64,,8,,b,,,,,,,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,,,
X6566B-05-R6,"Cable,Direct Attach CU SFP+ 10G,0.5M",72,51.67,,2,,b,,,,,,,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,,,
X-02657-00,"Rackmount Kit,212C,4-post,Adj",150,53.04,,3,,b,,,,,,,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,,,
X800-42U-R6,"Power Cable,In-Cabinet,C13-C14",0,0,,8,,b,,,,,,,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,,,
FAS2720-103-C,"FAS2720,12x8TB,7.2K,-C","12,900.00","4,561.65",,1,,b,,,,,,,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,,,
DS212C-07-8.0-12B-SK,"Disk Shelf,12G,12x8TB,7.2K,-SK","12,900.00","4,561.65",,3,,b,,,,,,,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,,,
DS224C-SL-.96-12S-SK,"SSD Shelf,12G,12x960GB,-SK","23,695.00","8,378.93",,1,,b,,,,,,,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,,,
SW-2-CL-BASE,"SW-2,Base,CL,Node",0,0,,1,,b,,,,,,,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,,,
SW-2-2720A-TPM-C,"SW,Trusted Platform Module Enabled,2720A,-C",0,0,,2,,b,,,,,,,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,,,
SW-2-2720A-NVE-C,"SW,Data at Rest Encryption Enabled,2720A,-C",0,0,,2,,b,,,,,,,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,,,
SW-PREMIUM-NLSAS-01-C,"SW,Per-0.1TB,Premium,NLSAS,01,-C",32,11.32,,3840,,b,,,,,,,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,,,
SW-PREMIUM-SSD-01-C,"SW,Per-0.1TB,Premium,SSD,01,-C",368,130.13,,115,,b,,,,,,,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,,,
DATA-AT-REST-ENCRYPTION,Data at Rest Encryption Capable Operating Sys,0,0,,2,,b,,,,,,,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,,,
PS-DEPLOY-BASIC-FAS-L,"PS Deployment,Basic,FAS,Low","2,500.00","1,899.84",,1,,b,,,,,,,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,,,
CS-BASE-SUPPORT,Base Software Support,"12,721.60","6,485.54",,1,,b,,,,,,,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,,,
CS-O2-4HR,SupportEdge Premium 4hr Onsite,"17,289.72","8,814.41",,1,,b,,,,,,,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,,,
CS-O2-4HR,SupportEdge Premium 4hr Onsite,"11,698.99","5,964.21",,1,,b,,,,,,,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,,,
FAS2720A-002,"FAS2720 HA System,Premium Bundle,CNA","7,500.00","2,652.12",,2,,b,,,,,,,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,,,
DOC-2720-C,"Documents,FAS2720,-C",0,0,,1,,b,,,,,,,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,,,
X6589-R6-C,"SFP+ Optical 10Gb Shortwave,-C",495,175.04,,8,,b,,,,,,,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,,,
X800-42U-R6,"Power Cable,In-Cabinet,C13-C14",0,0,,2,,b,,,,,,,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,,,
X-02657-00,"Rackmount Kit,212C,4-post,Adj",150,53.04,,1,,b,,,,,,,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,,,
X66030A,"Cable,12Gb,Mini SAS HD,0.5m",185,65.42,,4,,b,,,,,,,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,,,
X66032A,"Cable,12Gb,Mini SAS HD,2m",285,100.78,,4,,b,,,,,,,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,,,
X66250-2,"Cable,LC-LC,OM4,2m",245,86.64,,8,,b,,,,,,,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,,,
X6566B-05-R6,"Cable,Direct Attach CU SFP+ 10G,0.5M",72,51.67,,2,,b,,,,,,,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,,,
X-02657-00,"Rackmount Kit,212C,4-post,Adj",150,53.04,,3,,b,,,,,,,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,,,
X800-42U-R6,"Power Cable,In-Cabinet,C13-C14",0,0,,6,,b,,,,,,,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,,,
FAS2720-103-C,"FAS2720,12x8TB,7.2K,-C","12,900.00","4,561.65",,1,,b,,,,,,,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,,,
DS212C-07-8.0-12B-SK,"Disk Shelf,12G,12x8TB,7.2K,-SK","12,900.00","4,561.65",,3,,b,,,,,,,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,,,
SW-2-CL-BASE,"SW-2,Base,CL,Node",0,0,,1,,b,,,,,,,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,,,
SW-2-2720A-TPM-C,"SW,Trusted Platform Module Enabled,2720A,-C",0,0,,2,,b,,,,,,,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,,,
SW-2-2720A-NVE-C,"SW,Data at Rest Encryption Enabled,2720A,-C",0,0,,2,,b,,,,,,,9794741-6745807-WWT-HECO-Primary 48*8TB NLSAS-12*960GB SSD-3yr prem-120TUs-basic install-Secondary 48*8TB NLSAS-3yr prem-basic install-16629979,,,
