Part #,Description,List Price,WWT Cost,Customer Price,Qty,Manufacturer,Vendor,Additional Description,Cust Product #,Lab Flag (Y/N),Contract Start Date (MM/DD/YYYY),Contract End Date (MM/DD/YYYY),Serial #,Vendor Quote #,Duration,Lead Time,Cost Type
TZE231,1/2 BLACK/WHITE TAPE,,$11.16 ,,2,BROTHER MOBILE SOLUTIONS ,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
TZE251,1 BLACK/WHITE TAPE,,$15.32 ,,5,BROTHER MOBILE SOLUTIONS ,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
TZE261,1.5BLACK/WHITE,,$18.93 ,,5,BROTHER MOBILE SOLUTIONS ,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
BMP71-SC-QC,BMP71 LABEL PRNTR /SFT CASE /QUICK CHRGR,,$933.33 ,,1,BRADY WORLDWIDE INC,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
PTL-64-427,1.000 IN X 3.375 IN (25.40MM X 85.73MM),,$16.96 ,,5,BRADY WORLDWIDE INC,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
PTL-74-461,,,$16.62 ,,5,BRADY WORLDWIDE INC,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
C261X030FJC,2.61IN X .30IN,,$37.03 ,,3,PANDUIT CORP,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
C261X035Y1C,WHITE 75/CASSETTE 4PT IDENTIFIER,,$36.08 ,,3,PANDUIT CORP,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
C195X040Y1C,WHT N/ADH POLY LBL 100/CASS SGL FACE PLT,,$35.23 ,,2,PANDUIT CORP,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
C138X019FJC,1.38IN WIDE X .19IN HIGH,,$34.55 ,,2,PANDUIT CORP,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
LD5IW10-A,RACEWAY P/FT,,$1.25 ,,200,PANDUIT CORP,GRAYBAR ELECTRIC COMPANY,,,,,,,,,,
